numero,title,text,link,fecha,file
131,DECRETO 131 DEL 31 DE ENERO DE 2020,Por el cual se hace un nombramiento y se da por terminado un encargo,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 131 DEL 31 DE ENERO DE 2020.pdf,31 DE ENERO DE 2020,DECRETO 131 DEL 31 DE ENERO DE 2020.pdf
130,DECRETO 130 DEL 30 DE ENERO DE 2020,"Por el cual se sustituye el Título 1 de la Parte 3 del Libro 2 del Decreto 1071 de 2015, Decreto Único Reglamentario del Sector Agropecuario, Pesquero y de Desarrollo Rural, relacionado con el Certificado de Incentivo Forestal-CIF",https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 130 DEL 30 DE ENERO DE 2020.pdf,30 DE ENERO DE 2020,DECRETO 130 DEL 30 DE ENERO DE 2020.pdf
129,DECRETO 129 DEL 30 DE ENERO DE 2020,Por medio del cual se adiciona el Título 10 a la parte 4 del Libro 2 del Decreto 1079 de 2015 Único Reglamentario del Sector Transporte,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 129 DEL 30 DE ENERO DE 2020.pdf,30 DE ENERO DE 2020,DECRETO 129 DEL 30 DE ENERO DE 2020.pdf
126,DECRETO 126 DEL 30 DE ENERO DE 2020,Por el cual se hace un nombramiento,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 126 DEL 30 DE ENERO DE 2020.pdf,30 DE ENERO DE 2020,DECRETO 126 DEL 30 DE ENERO DE 2020.pdf
123,DECRETO 123 DEL 30 DE ENERO DE 2020,Por el cual se acepta una renuncia y hace un nombramiento en el Ministerio de Defensa Nacional,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 123 DEL 30 DE ENERO DE 2020.pdf,30 DE ENERO DE 2020,DECRETO 123 DEL 30 DE ENERO DE 2020.pdf
121,DECRETO 121 DEL 29 DE ENERO DE 2020,Por el cual se acepta una renuncia y se hace un nombramiento,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 121 DEL 29 DE ENERO DE 2020.pdf,29 DE ENERO DE 2020,DECRETO 121 DEL 29 DE ENERO DE 2020.pdf
120,DECRETO 120 DEL 28 DE ENERO DE 2020,"Por el cual se adiciona el Capítulo 2 al Título 3 de la Parte 2 del Libro 2 del Decreto 1072 de 2015, Decreto Único Reglamentario del Sector Trabajo, en lo relacionado con la reglamentación del Fondo para el Fortalecimiento de la Inspección, Vigilancia y Control del Trabajo y la Seguridad Social (FIVICOT)",https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 120 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 120 DEL 28 DE ENERO DE 2020.pdf
119,DECRETO 119 DEL 28 DE ENERO DE 2020,"Por el cual se adiciona una Subsección a la Sección 7 del CapItulo 2 del Trtulo 1 de la Parte 1 del Libro 2 del Decreto 1077 de 2015, en relación con el criterio de focalización para el acceso al subsidio familiar de vivienda en especie para áreas urbanas a los hogares que pertenezcan al pueblo Rrom o Gitano en atención a su situación de vulnerabilidad",https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 119 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 119 DEL 28 DE ENERO DE 2020.pdf
118,DECRETO 118 DEL 28 DE ENERO DE 2020,"Por el cual se adiciona el capitulo 2, al titulo 5, de la parte 3, del Libro 2 del Decreto Único Reglamentario del Sector Vivienda, Ciudad y Territorio, Decreto 1077 de 2015, y se reglamenta el articulo 280 de la Ley 1955 del 25 de mayo de 2019, en lo relacionado al uso de los recursos del Sistema General de Participaciones para Agua Potable y Saneamiento Básico (SGP-APSB) para el pago del servicio de energia por concepto de la operación de los sistemas de acueducto y alcantarillado",https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 118 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 118 DEL 28 DE ENERO DE 2020.pdf
117,DECRETO 117 DEL 28 DE ENERO DE 2020,"Por el cual se adiciona la Sección 3 al Capítulo 8 del Título 6 de la Parte 2 del Libro 2 del Decreto 1072 de 2015, Decreto Único Reglamentario del Sector Trabajo, en lo relacionado con la creación de un Permiso Especial de Permanencia para el Fomento de la Formalización -PEPFF.",https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 117 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 117 DEL 28 DE ENERO DE 2020.pdf
115,DECRETO 115 DEL 28 DE ENERO DE 2020,Por el cual se hace una designación como Embajador no Residente,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 115 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 115 DEL 28 DE ENERO DE 2020.pdf
114,DECRETO 114 DEL 28 DE ENERO DE 2020,Por el cual se hace una designación como Embajador no Residente,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 114 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 114 DEL 28 DE ENERO DE 2020.pdf
113,DECRETO 113 DEL 28 DE ENERO DE 2020,Por el cual se designa al Embajador de Colombia ante el Gobierno del Estado de la Ciudad del Vaticano como Embajador no Residente ante el Gobierno de la Soberana Orden Militar y Hospitalaria de San Juan de Jerusalén de Rodas y de Malta,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 113 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 113 DEL 28 DE ENERO DE 2020.pdf
112,DECRETO 112 DEL 28 DE ENERO DE 2020,"Por el cual se efectúa un traslado en la planta interna
y se retira del servicio del Ministerio de Relaciones Exteriores a un funcionario",https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 112 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 112 DEL 28 DE ENERO DE 2020.pdf
111,DECRETO 111 DEL 28 DE ENERO DE 2020,Por el cual se hace un traslado dentro de la planta externa del Ministerio de Relaciones Exteriores,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 111 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 111 DEL 28 DE ENERO DE 2020.pdf
110,DECRETO 110 DEL 28 DE ENERO DE 2020,Por el cual se hace un traslado a la planta externa del Ministerio de Relaciones Exteriores,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 110 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 110 DEL 28 DE ENERO DE 2020.pdf
107,DECRETO 107 DEL 28 DE ENERO DE 2020,Por el cual se hace una designación como Embajador no Residente,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 107 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 107 DEL 28 DE ENERO DE 2020.pdf
106,DECRETO 106 DEL 28 DE ENERO DE 2020,Por el cual se designa a la Embajadora de Colombia ante el gobierno de Hungría como Embajador No Residente ante el Gobierno de Montenegro,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 106 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 106 DEL 28 DE ENERO DE 2020.pdf
105,DECRETO 105 DEL 28 DE ENERO DE 2020,Por el cual se hace una designación como Embajador no Residente,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 105 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 105 DEL 28 DE ENERO DE 2020.pdf
104,DECRETO 104 DEL 28 DE ENERO DE 2020,Por el cual se hace una designación como Embajador no Residente,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 104 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 104 DEL 28 DE ENERO DE 2020.pdf
103,DECRETO 103 DEL 28 DE ENERO DE 2020,Por el cual se corrigen dos yerros de digitación en el Decreto 2316 del 20 de diciembre de 2019,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 103 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 103 DEL 28 DE ENERO DE 2020.pdf
102,DECRETO 102 DEL 28 DE ENERO DE 2020,Por el cual se designa al Embajador de Colombia ante el Gobierno de la República de El Salvador como Embajador no Residente ante el Gobierno de Belice,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 102 DEL 28 DE ENERO DE 2020.pdf,28 DE ENERO DE 2020,DECRETO 102 DEL 28 DE ENERO DE 2020.pdf
